word,count
o,19
de,18
e,14
da,12
a,11
do,9
no,5
Copa,5
clube,5
como,5
O,5
com,5
em,4
títulos,4
se,4
um,3
dos,3
Torneio,3
Vasco,3
torneios,3
ano,3
Campeonato,3
foi,3
por,3
primeiro,3
que,3
"",2
Já,2
América,2
tendo,2
Brasil,2
ainda,2
Em,2
Campeonatos,2
(em,2
conhecido,2
pela,2
Gama,2
quatro,2
cruzmaltino,2
gols,2
oficiais,2
grande,2
é,2
bicampeão,2
seu,2
conquistou,2
sua,2
na,2
Campeões,2
Europa,2
Resposta,1
pessoas,1
artilheiros,1
"maior,",1
"gols,",1
Romário,1
"seguida,",1
ascendeu,1
"Vitória,",1
marcados.,1
único,1
FIFA.[12],1
"Sul,",1
Madrid,1
"sul-americano,",1
"nacionais,",1
uma,1
(dentre,1
eles,1
"Carioca,",1
orgulha,1
carta,1
alegava,1
"ídolos,",1
"Edmundo,",1
atacante,1
Ademir,1
líder,1
intercontinentais,1
Rivadávia,1
sucessora,1
duelo,1
"continental,",1
"2000,",1
Virada,1
Século.,1
Rio-São,1
"Havelange),",1
diversos,1
"1923,",1
"Negras\",",1
jogadores,1
"antirracista,",1
"Histórica,",1
dispensar,1
"\"profissão",1
alguns,1
Roberto,1
153,1
principal,1
"Menezes,",1
competição,1
"CBD,",1
"FIFA,",1
"1957,",1
Liga,1
"Intercontinental,",1
naquele,1
encontro,1
continentes,1
descrita,1
entre,1
as,1
exibição,1
3,1
"1989,",1
(três,1
Relâmpago).,1
Carioca,1
negros,1
doze,1
seus,1
"negros,",1
dentre,1
plantel,1
ídolo,1
No,1
dirigente,1
UEFA,1
dois,1
antes,1
franceses,1
Libertadores,1
interestaduais,1
outros,1
nacionais,1
pelo,1
elenco,1
composto,1
classes,1
qual,1
vontade,1
tratarem,1
301,1
"Meyer,",1
apoio,1
tratada,1
"1960\",",1
superou,1
imprensa.,1
vencido,1
"1998,",1
Mercosul,1
"Palmeiras,",1
possui,1
Brasileiros,1
1],1
190,1
destaque,1
Negras,1
artilheiro,1
futebol.,1
oficial,1
Ottorino,1
terceira,1
edição.,1
disputa,1
segundo,1
melhores,1
Real,1
Sul-Americano,1
Ainda,1
"2011),",1
Conquistou,1
"carioca,",1
"duvidosa\".",1
seguido,1
pernambucano,1
maior,1
à,1
"época,",1
"1953,",1
tornou-se,1
vigente,1
até,1
Paulo,1
internacionais,1
futebol.[nota,1
conquistado,1
"\"Camisas",1
operárias.,1
marcada,1
recusou,1
"AMEA,",1
liga,1
maiores,1
marca,1
"Russinho,",1
Camisas,1
eleito,1
jogador,1
"Barassi,[11]",1
Paris,1
não-europeu,1
derrotar,1
campeão,1
clubes,1
"final,",1
pelos,1
numa,1
amplamente,1
centenário.,1
"sul-americanos,",1
vencendo,1
"1974,",1
"2000),",1
Torneios,1
Copas,1
"Municipal,",1
"Extra,",1
Início,1
sendo,1
luta,1
atletas,1
históricos,1
tornou,1
Octogonal,1
"\"mais",1
notável,1
âmbito,1
4,1
jogo,1
João,1
estaduais,1
"Rio,",1
inúmeros,1
título,1
time,1
majoritariamente,1
contrariando,1
"possui,",1
"Brasileiro,",1
"Dinamite,",1
154,1
respectivamente.[9],1
vascaíno,1
período.[10],1
Expresso,1
Corrêa,1
organizada,1
Rio,1
"Internacional,",1
inaugural,1
Na,1
jornalistas,1
equipes,1
elogiada,1
1997,1
